ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:1	PA165108557	D054868	4325000	C0795841	N0000181176						C0795841	2308	LD44.B0	Q93.5		307
DISEASE:2	PA446766	D018784	75100008	C0243001	N0000003856	10060921										
DISEASE:3	PA165109087	D018221	400153009	C0206646	N0000003695	10059354										
DISEASE:4	PA446220	D015746	207205003;21522001	C0000737	N0000003309	10000039										
DISEASE:5	PA165109033	D020434	398963001	C0271355	N0000004148	10053662										
DISEASE:6	PA443222	D000012	190787008;60193003	C0000744	N0000000263						C0000744	14	5C81.1	E78.6	200100	5
DISEASE:7	PA166264221						247760006									
DISEASE:8	PA443224	D000014		C0000771	N0000000265											
DISEASE:9	PA443225	D000015	116022009;205784002;67024003	C0000772	N0000000266	10002585										
DISEASE:10	PA166286081						244941000119101									
DISEASE:11	PA165108723	D003970	196411007	C0011998	N0000000966											
DISEASE:12	PA443228	D000026	102878001;199086002;199090000	C0000809	N0000000269	10062935										
DISEASE:13	PA443227	D000022	17369002;198631006;198643007;198689000	C0000786	N0000000268	10000234										
DISEASE:14	PA165109187	D014072	196313006	C0040428	N0000002971	10000247										
DISEASE:15	PA443235	D000038	128477000;200694004;44132006	C0000833	N0000000276	10000269										
DISEASE:16	PA165108199	D015823	231896005	C0000880	N0000003328					10069408	C0000880	67043	1F50	B60.1+;H19.2*		9285
DISEASE:17	PA443238	D000052	402599005	C0000889	N0000000279	10000350										
DISEASE:18	PA165108641	D020642	111393000	C0268419	N0000004165											
DISEASE:19	PA165108428	D016170	61277005	C0078888	N0000003382	10049003										
DISEASE:20	PA165108811	D015465	413389003	C0023472	N0000003262											
DISEASE:21	PA165108248	D003741	196370001	C0011346	N0000000920	10000395										
DISEASE:22	PA443239	D000126	20754004;47481007	C0001075	N0000000280	10000451										
DISEASE:23	PA443240	D000130	86268005	C0001080	N0000000281	10000452				10000452	C0001080	15	LD24.00	Q77.4	100800	8173
DISEASE:24	PA166048806							N0000000282								
DISEASE:25	PA443242	D000138	190887001;51387008	C0001122	N0000000283	10000486										
DISEASE:26	PA443243	D000140	91273001	C0001125	N0000000284	10000491										
DISEASE:27	PA443244	D000141	1776003	C0001126	N0000000285	10000494										
DISEASE:28	PA166048819							N0000000286								
DISEASE:29	PA166048775							N0000000287								
DISEASE:30	PA165109141	D000153	238746008	C0001145	N0000000289	10051699										
DISEASE:31	PA165109071	D000153	238742005	C0001145	N0000000289	10051699										
DISEASE:32	PA443247	D000152	88616000	C0001144	N0000000288	10000519										
DISEASE:33	PA165108941	D000160	194402005	C0001163	N0000000290	10000521										
DISEASE:34	PA165108647	D018887	230438007	C0282512	N0000003874	10052075				10052075	C0282512;C1832814;C5552731	98818	8A62.2	F80.3	245570	6855
DISEASE:35	PA165109048	D020859	6654000	C0264134	N0000004211	10019092										
DISEASE:36	PA165108992	D000386	240611008	C0001857	N0000000344	10000567										
DISEASE:37	PA165108133	D016263	236406007	C0078911	N0000003389											
DISEASE:38	PA443250	D000163	186715004;62246005;62479008	C0001175;C0001857	N0000000291	10000562			D000386							
DISEASE:39	PA152068054			C0220989		10053857	75659004									
DISEASE:40	PA165108438	D005531	111260007	C0016507	N0000001273											
DISEASE:41	PA165108344	D052582	1539003	C0158328	N0000181057	10044654										
DISEASE:42	PA152249159			C1275078			403767009									
DISEASE:43	PA443251	D000168	205258009;268262006	C1510455	N0000000292	10000590				10002943;10000590	C0001193;C1862380;C1863389;C1863391	87;1219	LD24.G2	Q87.0	101200	5833;3149;9218
DISEASE:44	PA165108831	D000170	66695004	C0001198	N0000000294	10000598										
DISEASE:45	PA443254	D000172	74107003	C0001206	N0000000295	10000599				10000599	C0001206	963	5A60.0	E22.0		5725
DISEASE:46	PA166048822							N0000000299								
DISEASE:47	PA165108511	D000196	186405006	C0001261	N0000000300	10000620										
DISEASE:48	PA446880	D020016	421527008	C0600433	N0000003983	10056867										
DISEASE:49	PA165109055	D000006	9209005	C0000727	N0000000260	10000096										
DISEASE:50	PA165108963	D011016	20606002	C0032291	N0000010988											
DISEASE:51	PA166114455									10049237						
DISEASE:52	PA165108810	D041881	197411000	C0149520	N0000010952	10000691										
DISEASE:53	PA165108452	D041881	197409009	C0149520	N0000010952	10000691										
DISEASE:54	PA165108401	D054058	394659003	C0948089	N0000181188	10051592										
DISEASE:55	PA165108439	D004684	72986009	C0014077	N0000001089	10058994										
DISEASE:56	PA165108472	D047508	197273006	C0001364	N0000011090	10003695										
DISEASE:57	PA165108252	D019283	7881005	C0267941	N0000003910	10056219										
DISEASE:58	PA165108653	D005892	173599005	C0017575	N0000001343	10056687										
DISEASE:59	PA165109060	D011052	64764001	C0032372	N0000002450	10000675										
DISEASE:60	PA443262	D000210		C0001349	N0000000303											
DISEASE:61	PA165108274	D040701	268657003	C0236816	N0000011158	10001039										
DISEASE:62	PA165108138	D013969	25476006	C0040150	N0000002947											
DISEASE:63	PA165109110	D005892	172697005	C0017575	N0000001343	10056687										
DISEASE:64	PA443264	D000224	363732003;373662000	C0001403	N0000000305	10001130				10001130	C0001403	85138	5A74.0	E27.1		5740
DISEASE:65	PA443265	D000230	35917007	C0001418	N0000000306	10001141										
DISEASE:66	PA443615	D002282	112677002;36310008;373627005	C0007120	N0000000669	10049876										
