ID_OREGANO:2714	SIDER	NAME
INDICATION:1	C0015544	Failure to Thrive
INDICATION:2	C0020615	Hypoglycemia
INDICATION:3	C0022661	Kidney Failure, Chronic
INDICATION:4	C0025521	Inborn Errors of Metabolism
INDICATION:5	C0026827	Muscle hypotonia
INDICATION:6	C0085584	Encephalopathies
INDICATION:7	C0151786	Muscle Weakness
INDICATION:8	C0878544	Cardiomyopathies
INDICATION:9	C1142132	Carnitine deficiency
INDICATION:10	C0001768	Agammaglobulinemia
INDICATION:11	C0008049	Chickenpox
INDICATION:12	C0009447	Common Variable Immunodeficiency
INDICATION:13	C0009450	Communicable Diseases
INDICATION:14	C0019158	Hepatitis
INDICATION:15	C0019159	Hepatitis A
INDICATION:16	C0019163	Hepatitis B
INDICATION:17	C0025007	Measles
INDICATION:18	C0035920	Rubella
INDICATION:19	C0040100	Thymoma
INDICATION:20	C0042721	Viral hepatitis
INDICATION:21	C0085393	Immunocompromised Host
INDICATION:22	C0086438	Hypogammaglobulinemia
INDICATION:23	C0221026	X-linked agammaglobulinemia
INDICATION:24	C0740380	Varicella zoster
INDICATION:25	C0854268	Foetal damage
INDICATION:26	C0917801	Sleeplessness
INDICATION:27	C0022602	Actinic keratosis
INDICATION:28	C0162568	Erythropoietic Protoporphyria
INDICATION:29	C0555198	Malignant Glioma
INDICATION:30	C0002871	Anemia
INDICATION:31	C0002888	Anemia, Megaloblastic
INDICATION:32	C0002892	Anemia, Pernicious
INDICATION:33	C0006826	Malignant Neoplasms
INDICATION:34	C0009402	Colorectal Carcinoma
INDICATION:35	C0016412	Folic Acid Deficiency
INDICATION:36	C0023895	Liver diseases
INDICATION:37	C0024523	Malabsorption Syndrome
INDICATION:38	C0029463	Osteosarcoma
INDICATION:39	C0162429	Malnutrition
INDICATION:40	C0205707	Sprue
INDICATION:41	C0948380	Colorectal cancer metastatic
INDICATION:42	C1527249	Colorectal Cancer
INDICATION:43	C0000729	Abdominal Cramps
INDICATION:44	C0000814	Missed abortion
INDICATION:45	C0007222	Cardiovascular Diseases
INDICATION:46	C0011849	Diabetes Mellitus
INDICATION:47	C0013274	Patent ductus arteriosus
INDICATION:48	C0015927	Fetal Death
INDICATION:49	C0015934	Fetal Growth Retardation
INDICATION:50	C0020217	Hydatidiform Mole
INDICATION:51	C0020538	Hypertensive disease
INDICATION:52	C0020649	Hypotension
INDICATION:53	C0027497	Nausea
INDICATION:54	C0032914	Pre-Eclampsia
INDICATION:55	C0042963	Vomiting
INDICATION:56	C0221007	Postmaturity
INDICATION:57	C0549315	Benign hydatidiform mole
INDICATION:58	C0595939	Stillbirth
INDICATION:59	C1504421	Rhesus incompatibility
INDICATION:60	C0009782	Connective Tissue Diseases
INDICATION:61	C0011644	Scleroderma
INDICATION:62	C1701939	Familial pulmonary arterial hypertension
INDICATION:63	C3203102	Idiopathic pulmonary arterial hypertension
INDICATION:64	C0020625	Hyponatremia
INDICATION:65	C0026205	Miosis disorder
INDICATION:66	C0004238	Atrial Fibrillation
INDICATION:67	C0004239	Atrial Flutter
INDICATION:68	C0018799	Heart Diseases
INDICATION:69	C0030590	Paroxysmal supraventricular tachycardia
INDICATION:70	C0036572	Seizures
INDICATION:71	C0039240	Supraventricular tachycardia
INDICATION:72	C0042514	Tachycardia, Ventricular
INDICATION:73	C0043202	Wolff-Parkinson-White Syndrome
INDICATION:74	C0151744	Myocardial Ischemia
INDICATION:75	C0232201	Sinus rhythm
INDICATION:76	C0429097	QRS complex
INDICATION:77	C0857153	Nodal block
INDICATION:78	C1258192	Total Peripheral Resistance
INDICATION:79	C1956346	Coronary Artery Disease
INDICATION:80	C0004610	Bacteremia
INDICATION:81	C0011854	Diabetes Mellitus, Insulin-Dependent
INDICATION:82	C0011884	Diabetic Retinopathy
INDICATION:83	C0013604	Edema
INDICATION:84	C0018802	Congestive heart failure
INDICATION:85	C0020456	Hyperglycemia
INDICATION:86	C0020459	Hyperinsulinism
INDICATION:87	C0020488	Hypernatremia
INDICATION:88	C0020598	Hypocalcemia
INDICATION:89	C0022658	Kidney Diseases
INDICATION:90	C0023890	Liver Cirrhosis
INDICATION:91	C0032285	Pneumonia
INDICATION:92	C0042345	Varicosity
INDICATION:93	C0043250	Injury wounds
INDICATION:94	C0151940	Hypocalcemic tetany
INDICATION:95	C0220983	Metabolic alkalosis
INDICATION:96	C0235395	Fluid loss
INDICATION:97	C0442874	Neuropathy
INDICATION:98	C0745153	Hypoglycaemic episode
INDICATION:99	C0858734	Insulin hypoglycemia
INDICATION:100	C1112209	Intraabdominal Infections
INDICATION:101	C1527401	Insulin Shock
INDICATION:102	C1565489	Renal Insufficiency
INDICATION:103	C0003492	Aortic coarctation
INDICATION:104	C0018798	Congenital Heart Defects
INDICATION:105	C0026836	Muscle relaxation phase
INDICATION:106	C0039685	Tetralogy of Fallot
INDICATION:107	C0040761	Transposition of Great Vessels
INDICATION:108	C0042401	Vasodilation
INDICATION:109	C0242350	Erectile dysfunction
INDICATION:110	C0242855	Congenital atresia of pulmonary valve
INDICATION:111	C0243002	Tricuspid Atresia
INDICATION:112	C0344760	Mitral valve atresia
INDICATION:113	C1956257	Pulmonary Stenosis
INDICATION:114	C0001206	Acromegaly
INDICATION:115	C0001430	Adenoma
INDICATION:116	C0010276	Craniopharyngioma
INDICATION:117	C0013338	Pituitary dwarfism
INDICATION:118	C0017547	Gigantism
INDICATION:119	C0043251	Wounds and Injuries
INDICATION:120	C0221347	Acrocyanosis
INDICATION:121	C0242343	Panhypopituitarism
INDICATION:122	C0149931	Migraine Disorders
INDICATION:123	C0236018	Aura
INDICATION:124	C0030757	Pediculus capitis infestation
INDICATION:125	C0019880	Homocystinuria
INDICATION:126	C0268621	Hepatic methionine adenosyltransferase deficiency
INDICATION:127	C0002063	Alkalosis
INDICATION:128	C0006906	Capillary Permeability
INDICATION:129	C0011608	Dermatitis Herpetiformis
INDICATION:130	C0020461	Hyperkalemia
INDICATION:131	C0020626	Hypoparathyroidism
INDICATION:132	C0026821	Muscle Cramp
INDICATION:133	C0029442	Osteomalacia
INDICATION:134	C0033774	Pruritus
INDICATION:135	C0035579	Rickets
INDICATION:136	C0037274	Dermatologic disorders
INDICATION:137	C0039621	Tetany
INDICATION:138	C0042870	Vitamin D Deficiency
INDICATION:139	C0085681	Hyperphosphatemia (disorder)
INDICATION:140	C0232488	Abdominal colic
INDICATION:141	C0242188	Spider Bites
INDICATION:142	C0242461	Purpura, Nonthrombocytopenic
INDICATION:143	C0270224	Tetany, Neonatal
INDICATION:144	C0302295	Eruptions
INDICATION:145	C0392519	Calcium deficiency
INDICATION:146	C0728899	Intoxication
INDICATION:147	C0851444	Allergic conditions
INDICATION:148	C0876994	Cardiotoxicity
INDICATION:149	C0009768	Bacterial conjunctivitis
INDICATION:150	C0010674	Cystic Fibrosis
INDICATION:151	C0015403	Eye Infections
INDICATION:152	C0025289	Meningitis
INDICATION:153	C0029291	Psittacosis
INDICATION:154	C0029878	Otitis Externa
INDICATION:155	C0041466	Typhoid Fever
INDICATION:156	C0271454	Chronic suppurative otitis media
INDICATION:157	C0001122	Acidosis
INDICATION:158	C0001126	Renal tubular acidosis
INDICATION:159	C0018099	Gout
INDICATION:160	C0085631	Agitation
INDICATION:161	C0220981	Metabolic acidosis
INDICATION:162	C0392525	Nephrolithiasis
INDICATION:163	C0403447	Chronic Kidney Insufficiency
INDICATION:164	C0854059	pH urine decreased
INDICATION:165	C0003811	Cardiac Arrhythmia
