ID_OREGANO:2129	REACTOME
PATHWAY:10	R-HSA-418990
PATHWAY:100	R-HSA-9614657
PATHWAY:1000	R-HSA-390650
PATHWAY:1001	R-HSA-912694
PATHWAY:1002	R-HSA-9758274
PATHWAY:1003	R-HSA-448424
PATHWAY:1004	R-HSA-5250971
PATHWAY:1005	R-HSA-3248023
PATHWAY:1006	R-HSA-3270619
PATHWAY:1007	R-HSA-390648
PATHWAY:1008	R-HSA-445095
PATHWAY:1009	R-HSA-5576892
PATHWAY:101	R-HSA-1268020
PATHWAY:1010	R-HSA-1362409
PATHWAY:1011	R-HSA-2395516
PATHWAY:1012	R-HSA-5579026
PATHWAY:1013	R-HSA-975577
PATHWAY:1014	R-HSA-211935
PATHWAY:1015	R-HSA-211979
PATHWAY:1016	R-HSA-2142691
PATHWAY:1017	R-HSA-5649702
PATHWAY:1018	R-HSA-1855204
PATHWAY:1019	R-HSA-399997
PATHWAY:102	R-HSA-5205685
PATHWAY:1020	R-HSA-9754560
PATHWAY:1021	R-HSA-1300645
PATHWAY:1022	R-HSA-196843
PATHWAY:1023	R-HSA-629594
PATHWAY:1024	R-HSA-629597
PATHWAY:1025	R-HSA-450385
PATHWAY:1026	R-HSA-450513
PATHWAY:1027	R-HSA-450604
PATHWAY:1028	R-HSA-1482883
PATHWAY:1029	R-HSA-426048
PATHWAY:103	R-HSA-1433559
PATHWAY:1030	R-HSA-351143
PATHWAY:1031	R-HSA-629587
PATHWAY:1032	R-HSA-211958
PATHWAY:1033	R-HSA-2142816
PATHWAY:1034	R-HSA-5579011
PATHWAY:1035	R-HSA-429593
PATHWAY:1036	R-HSA-5602636
PATHWAY:1037	R-HSA-5603027
PATHWAY:1038	R-HSA-5603029
PATHWAY:1039	R-HSA-5684264
PATHWAY:104	R-HSA-9706369
PATHWAY:1040	R-HSA-933542
PATHWAY:1041	R-HSA-933543
PATHWAY:1042	R-HSA-937039
PATHWAY:1043	R-HSA-975144
PATHWAY:1044	R-HSA-8981607
PATHWAY:1045	R-HSA-9022699
PATHWAY:1046	R-HSA-5666185
PATHWAY:1047	R-HSA-8964572
PATHWAY:1048	R-HSA-1483148
PATHWAY:1049	R-HSA-1834941
PATHWAY:105	R-HSA-983231
PATHWAY:1050	R-HSA-71288
PATHWAY:1051	R-HSA-169911
PATHWAY:1052	R-HSA-425393
PATHWAY:1053	R-HSA-1266695
PATHWAY:1054	R-HSA-982772
PATHWAY:1055	R-HSA-203641
PATHWAY:1056	R-HSA-187024
PATHWAY:1057	R-HSA-5619071
PATHWAY:1058	R-HSA-446199
PATHWAY:1059	R-HSA-4755609
PATHWAY:106	R-HSA-4085001
PATHWAY:1060	R-HSA-75109
PATHWAY:1061	R-HSA-177162
PATHWAY:1062	R-HSA-8963889
PATHWAY:1063	R-HSA-8963901
PATHWAY:1064	R-HSA-8849469
PATHWAY:1065	R-HSA-373752
PATHWAY:1066	R-HSA-1300642
PATHWAY:1067	R-HSA-165158
PATHWAY:1068	R-HSA-3000480
PATHWAY:1069	R-HSA-164939
PATHWAY:107	R-HSA-4085011
PATHWAY:1070	R-HSA-167590
PATHWAY:1071	R-HSA-182218
PATHWAY:1072	R-HSA-190873
PATHWAY:1073	R-HSA-196025
PATHWAY:1074	R-HSA-416993
PATHWAY:1075	R-HSA-5099900
PATHWAY:1076	R-HSA-5140745
PATHWAY:1077	R-HSA-264870
PATHWAY:1078	R-HSA-5223345
PATHWAY:1079	R-HSA-166665
PATHWAY:108	R-HSA-1296061
PATHWAY:1080	R-HSA-196836
PATHWAY:1081	R-HSA-9717207
PATHWAY:1082	R-HSA-9730628
PATHWAY:1083	R-HSA-192456
PATHWAY:1084	R-HSA-71240
PATHWAY:1085	R-HSA-196791
PATHWAY:1086	R-HSA-211916
PATHWAY:1087	R-HSA-5579027
PATHWAY:1088	R-HSA-5358493
PATHWAY:1089	R-HSA-168275
PATHWAY:109	R-HSA-418594
PATHWAY:1090	R-HSA-427975
PATHWAY:1091	R-HSA-209931
PATHWAY:1092	R-HSA-9700645
PATHWAY:1093	R-HSA-9733458
PATHWAY:1094	R-HSA-112122
PATHWAY:1095	R-HSA-8939242
PATHWAY:1096	R-HSA-6783783
PATHWAY:1097	R-HSA-425561
PATHWAY:1098	R-HSA-5619055
PATHWAY:1099	R-HSA-173107
PATHWAY:11	R-HSA-525793
PATHWAY:110	R-HSA-444821
PATHWAY:1100	R-HSA-2161541
PATHWAY:1101	R-HSA-71384
PATHWAY:1102	R-HSA-373076
PATHWAY:1103	R-HSA-5679001
PATHWAY:1104	R-HSA-6803211
PATHWAY:1105	R-HSA-446203
PATHWAY:1106	R-HSA-174403
PATHWAY:1107	R-HSA-5423646
PATHWAY:1108	R-HSA-844623
PATHWAY:1109	R-HSA-2485179
PATHWAY:111	R-HSA-196299
PATHWAY:1110	R-HSA-5689877
PATHWAY:1111	R-HSA-1483255
PATHWAY:1112	R-HSA-6799198
PATHWAY:1113	R-HSA-5579005
PATHWAY:1114	R-HSA-425366
PATHWAY:1115	R-HSA-6788467
PATHWAY:1116	R-HSA-447043
PATHWAY:1117	R-HSA-6782861
PATHWAY:1118	R-HSA-1474244
PATHWAY:1119	R-HSA-2022090
PATHWAY:112	R-HSA-4641262
PATHWAY:1120	R-HSA-216083
PATHWAY:1121	R-HSA-2214320
PATHWAY:1122	R-HSA-2243919
PATHWAY:1123	R-HSA-3000170
PATHWAY:1124	R-HSA-3000178
PATHWAY:1125	R-HSA-430116
PATHWAY:1126	R-HSA-75892
PATHWAY:1127	R-HSA-76009
PATHWAY:1128	R-HSA-8948216
PATHWAY:1129	R-HSA-5250958
PATHWAY:113	R-HSA-162791
PATHWAY:1130	R-HSA-186797
PATHWAY:1131	R-HSA-419037
PATHWAY:1132	R-HSA-446107
PATHWAY:1133	R-HSA-6793080
PATHWAY:1134	R-HSA-1296072
PATHWAY:1135	R-HSA-156581
PATHWAY:1136	R-HSA-379397
PATHWAY:1137	R-HSA-379398
PATHWAY:1138	R-HSA-425410
PATHWAY:1139	R-HSA-70350
PATHWAY:114	R-HSA-416482
PATHWAY:1140	R-HSA-1362277
PATHWAY:1141	R-HSA-1362300
PATHWAY:1142	R-HSA-69205
PATHWAY:1143	R-HSA-9729555
PATHWAY:1144	R-HSA-433692
PATHWAY:1145	R-HSA-196807
PATHWAY:1146	R-HSA-417973
PATHWAY:1147	R-HSA-111367
PATHWAY:1148	R-HSA-77588
PATHWAY:1149	R-HSA-375280
PATHWAY:115	R-HSA-5689880
PATHWAY:1150	R-HSA-189451
PATHWAY:1151	R-HSA-5619049
PATHWAY:1152	R-HSA-5619060
PATHWAY:1153	R-HSA-200425
PATHWAY:1154	R-HSA-5362517
PATHWAY:1155	R-HSA-174490
PATHWAY:1156	R-HSA-8877330
PATHWAY:1157	R-HSA-880009
PATHWAY:1158	R-HSA-418886
PATHWAY:1159	R-HSA-2206291
PATHWAY:116	R-HSA-166663
PATHWAY:1160	R-HSA-111931
PATHWAY:1161	R-HSA-199920
PATHWAY:1162	R-HSA-375165
PATHWAY:1163	R-HSA-442742
PATHWAY:1164	R-HSA-881907
PATHWAY:1165	R-HSA-9022692
PATHWAY:1166	R-HSA-9022702
PATHWAY:1167	R-HSA-9022707
PATHWAY:1168	R-HSA-450341
PATHWAY:1169	R-HSA-3134973
PATHWAY:117	R-HSA-174577
PATHWAY:1170	R-HSA-5621575
PATHWAY:1171	R-HSA-8939246
PATHWAY:1172	R-HSA-918233
PATHWAY:1173	R-HSA-9818027
PATHWAY:1174	R-HSA-9818028
PATHWAY:1175	R-HSA-5339716
PATHWAY:1176	R-HSA-5358747
PATHWAY:1177	R-HSA-5358749
PATHWAY:1178	R-HSA-5358751
PATHWAY:1179	R-HSA-5358752
PATHWAY:118	R-HSA-977606
PATHWAY:1180	R-HSA-5467337
PATHWAY:1181	R-HSA-5467340
PATHWAY:1182	R-HSA-5467348
PATHWAY:1183	R-HSA-8934903
PATHWAY:1184	R-HSA-422085
PATHWAY:1185	R-HSA-9680350
PATHWAY:1186	R-HSA-400511
PATHWAY:1187	R-HSA-170984
PATHWAY:1188	R-HSA-186763
PATHWAY:1189	R-HSA-372708
PATHWAY:119	R-HSA-8951664
PATHWAY:1190	R-HSA-8849471
PATHWAY:1191	R-HSA-8875555
PATHWAY:1192	R-HSA-8875656
PATHWAY:1193	R-HSA-912631
PATHWAY:1194	R-HSA-9027284
PATHWAY:1195	R-HSA-194138
PATHWAY:1196	R-HSA-9735869
PATHWAY:1197	R-HSA-173623
PATHWAY:1198	R-HSA-139910
PATHWAY:1199	R-HSA-3371571
PATHWAY:12	R-HSA-8957275
PATHWAY:120	R-HSA-983168
