ID_OREGANO:11605	HPO	UMLS	MSH	SNOMEDCT_US	MEDDRA	FYLER	NCIT	COHD	EFO	ICD10	ICD9	ICD-10	EPCC	DOID	MONDO	ICD-O	MP	MPATH	PMID	ORPHA	SNOMED_CT	ICD-9
PHENOTYPE:1	HP:0000001	C0444868																				
PHENOTYPE:2	HP:0000002	C4025901																				
PHENOTYPE:3	HP:0000003	C3714581	D021782	204962002;82525005																		
PHENOTYPE:4	HP:0000005	C1708511																				
PHENOTYPE:5	HP:0000006	C0443147		263681008																		
PHENOTYPE:6	HP:0000007	C0441748;C4020899		258211005																		
PHENOTYPE:7	HP:0000008	C4025900																				
PHENOTYPE:8	HP:0000009	C3806583																				
PHENOTYPE:9	HP:0000010	C0262655		197927001																		
PHENOTYPE:10	HP:0000011	C0005697	D001750	397732007;398064005																		
PHENOTYPE:11	HP:0000012	C0085606;C3544092;C4020898		75088002																		
PHENOTYPE:12	HP:0000013	C0266399		35850006																		
PHENOTYPE:13	HP:0000014	C0149632																				
PHENOTYPE:14	HP:0000015	C0156273	C562406	197866008																		
PHENOTYPE:15	HP:0000016	C0080274	D016055	130951007;267064002;449491000124101																		
PHENOTYPE:16	HP:0000017	C0028734	D053158	139394000																		
PHENOTYPE:17	HP:0000019	C0152032		5972002																		
PHENOTYPE:18	HP:0000020	C0042024	D014549	165232002																		
PHENOTYPE:19	HP:0000021	C1855311	C536139																			
PHENOTYPE:20	HP:0000022	C4025899																				
PHENOTYPE:21	HP:0000023	C0019294	D006552	396232000	"10022016 ""Inguinal hernia"""																	
PHENOTYPE:22	HP:0000024	C0033581	D011472	9713002																		
PHENOTYPE:23	HP:0000025	C4025898																				
PHENOTYPE:24	HP:0000026	C0151721	D005058	48723006																		
PHENOTYPE:25	HP:0000027	C0004509	D053713	425558002;48188009																		
PHENOTYPE:26	HP:0000028	C0010417	D003456	204878001		4493																
PHENOTYPE:27	HP:0000029	C0156312		17585008																		
PHENOTYPE:28	HP:0000030	C1515283					C3754															
PHENOTYPE:29	HP:0000031	C0014534	D004823	31070006																		
PHENOTYPE:30	HP:0000032	C4025897																				
PHENOTYPE:31	HP:0000033	C4021823																				
PHENOTYPE:32	HP:0000034	C1720771	D006848	26614003;386152007;55434001																		
PHENOTYPE:33	HP:0000035	C0266423		55631001																		
PHENOTYPE:34	HP:0000036	C4025896																				
PHENOTYPE:35	HP:0000037	C0238395	D058490	111332007																		
PHENOTYPE:36	HP:0000039	C0563449		406477003																		
PHENOTYPE:37	HP:0000040	C0269011		88673001																		
PHENOTYPE:38	HP:0000041	C0221182		4287008																		
PHENOTYPE:39	HP:0000042	C1848869																				
PHENOTYPE:40	HP:0000044	C0271623;C3489396	D007006	33927004																		
PHENOTYPE:41	HP:0000045	C4025895																				
PHENOTYPE:42	HP:0000046	C0431659		204912007																		
PHENOTYPE:43	HP:0000047	C1691215		204888000		4504																
PHENOTYPE:44	HP:0000048	C0341787		236780002																		
PHENOTYPE:45	HP:0000049	C1858539																				
PHENOTYPE:46	HP:0000050	C1852534																				
PHENOTYPE:47	HP:0000051	C0452148		204890004																		
PHENOTYPE:48	HP:0000052	C4025894																				
PHENOTYPE:49	HP:0000053	C1263023																				
PHENOTYPE:50	HP:0000054	C4551492		34911001																		
PHENOTYPE:51	HP:0000055	C4021822																				
PHENOTYPE:52	HP:0000056	C4025893																				
PHENOTYPE:53	HP:0000058	C4025892																				
PHENOTYPE:54	HP:0000059	C0566899		289469003																		
PHENOTYPE:55	HP:0000060	C1844527																				
PHENOTYPE:56	HP:0000061	C1859980;C4025891																				
PHENOTYPE:57	HP:0000062	C0266362	D012734	21321009																		
PHENOTYPE:58	HP:0000063	C1837532																				
PHENOTYPE:59	HP:0000064	C1849295																				
PHENOTYPE:60	HP:0000065	C0404531		16924008																		
PHENOTYPE:61	HP:0000066	C1850325																				
PHENOTYPE:62	HP:0000067	C4025890																				
PHENOTYPE:63	HP:0000068	C1610065																				
PHENOTYPE:64	HP:0000069	C1840382																				
PHENOTYPE:65	HP:0000070	C0041960	D014518	12818004																		
PHENOTYPE:66	HP:0000071	C0521618		95574003																		
PHENOTYPE:67	HP:0000072	C0521620;C4020897		69758005;95576001																		
PHENOTYPE:68	HP:0000073	C0221365		49496001																		
PHENOTYPE:69	HP:0000074	C0521619	C537373	95575002																		
PHENOTYPE:70	HP:0000075	C0266298		30275001																		
PHENOTYPE:71	HP:0000076	C0042580	D014718	197811007		4510																
PHENOTYPE:72	HP:0000077	C0022658;C0266292	D007674	44513007;90708001																		
PHENOTYPE:73	HP:0000078	C0281966;C0744356																				
PHENOTYPE:74	HP:0000079	C4021821																				
