ID_OREGANO:6060	SIDER	NAME
SIDE_EFFECT:1	C0000729	Abdominal cramps
SIDE_EFFECT:2	C0000737	Abdominal pain
SIDE_EFFECT:3	C0687713	Gastrointestinal pain
SIDE_EFFECT:4	C0002418	Amblyopia
SIDE_EFFECT:5	C0002871	Anaemia
SIDE_EFFECT:6	C0003123	Anorexia
SIDE_EFFECT:7	C0232462	Decreased appetite
SIDE_EFFECT:8	C0003467	Anxiety
SIDE_EFFECT:9	C0003811	Arrhythmia
SIDE_EFFECT:10	C0004093	Asthenia
SIDE_EFFECT:11	C0004238	Atrial fibrillation
SIDE_EFFECT:12	C0004604	Back pain
SIDE_EFFECT:13	C0006277	Bronchitis
SIDE_EFFECT:14	C0007222	Cardiovascular disorder
SIDE_EFFECT:15	C0008031	Chest pain
SIDE_EFFECT:16	C0009450	Infection
SIDE_EFFECT:17	C0009806	Constipation
SIDE_EFFECT:18	C0010200	Cough
SIDE_EFFECT:19	C0011570	Depression
SIDE_EFFECT:20	C0011991	Diarrhoea
SIDE_EFFECT:21	C0012833	Dizziness
SIDE_EFFECT:22	C0013378	Dysgeusia
SIDE_EFFECT:23	C0013395	Dyspepsia
SIDE_EFFECT:24	C0013404	Dyspnoea
SIDE_EFFECT:25	C0015230	Rash
SIDE_EFFECT:26	C0011603	Dermatitis
SIDE_EFFECT:27	C0015397	Eye disorder
SIDE_EFFECT:28	C0015967	Body temperature increased
SIDE_EFFECT:29	C0017152	Gastritis
SIDE_EFFECT:30	C0017178	Gastrointestinal disorder
SIDE_EFFECT:31	C0018681	Headache
SIDE_EFFECT:32	C0019080	Haemorrhage
SIDE_EFFECT:33	C0518015	Haemoglobin
SIDE_EFFECT:34	C0020437	Hypercalcaemia
SIDE_EFFECT:35	C0020461	Hyperkalaemia
SIDE_EFFECT:36	C0020517	Hypersensitivity
SIDE_EFFECT:37	C0020538	Hypertension
SIDE_EFFECT:38	C0020649	Hypotension
SIDE_EFFECT:39	C0021400	Influenza
SIDE_EFFECT:40	C0023218	Cramps of lower extremities
SIDE_EFFECT:41	C0037763	Muscle spasms
SIDE_EFFECT:42	C0025222	Melaena
SIDE_EFFECT:43	C0026826	Hypertonia
SIDE_EFFECT:44	C0027497	Nausea
SIDE_EFFECT:45	C0030193	Pain
SIDE_EFFECT:46	C0030252	Palpitations
SIDE_EFFECT:47	C0030517	Parathyroid disorder
SIDE_EFFECT:48	C0030554	Paraesthesia
SIDE_EFFECT:49	C0031350	Pharyngitis
SIDE_EFFECT:50	C0033774	Pruritus
SIDE_EFFECT:51	C0035078	Renal failure
SIDE_EFFECT:52	C0035455	Rhinitis
SIDE_EFFECT:53	C0036572	Convulsion
SIDE_EFFECT:54	C0037199	Sinusitis
SIDE_EFFECT:55	C0039231	Tachycardia
SIDE_EFFECT:56	C0042029	Urinary tract infection
SIDE_EFFECT:57	C0042373	Angiopathy
SIDE_EFFECT:58	C0042571	Vertigo
SIDE_EFFECT:59	C0042963	Vomiting
SIDE_EFFECT:60	C0043094	Weight increased
SIDE_EFFECT:61	C0043096	Weight decreased
SIDE_EFFECT:62	C0085595	Body odor
SIDE_EFFECT:63	C0234930	Skin odour abnormal
SIDE_EFFECT:64	C0085649	Oedema peripheral
SIDE_EFFECT:65	C0151735	Injection site reaction
SIDE_EFFECT:66	C0151736	Accidental injury
SIDE_EFFECT:67	C3263723	Injury
SIDE_EFFECT:68	C0152020	Gastric atony
SIDE_EFFECT:69	C0522063	Impaired gastric emptying
SIDE_EFFECT:70	C0231528	Myalgia
SIDE_EFFECT:71	C0948594	Musculoskeletal discomfort
SIDE_EFFECT:72	C0426576	Gastrointestinal symptom NOS
SIDE_EFFECT:73	C0522055	Electrocardiogram abnormal
SIDE_EFFECT:74	C0546817	Fluid overload
SIDE_EFFECT:75	C0917801	Insomnia
SIDE_EFFECT:76	C0947912	Myasthenia
SIDE_EFFECT:77	C0151786	Muscular weakness
SIDE_EFFECT:78	C1510472	Drug dependence
SIDE_EFFECT:79	C0002792	Anaphylactic shock
SIDE_EFFECT:80	C0002994	Angioedema
SIDE_EFFECT:81	C0042109	Urticaria
SIDE_EFFECT:82	C0863083	Injection site tenderness
SIDE_EFFECT:83	C0151828	Injection site pain
SIDE_EFFECT:84	C0003537	Aphasia
SIDE_EFFECT:85	C0004936	Mental disorder
SIDE_EFFECT:86	C0006118	Brain neoplasm
SIDE_EFFECT:87	C0013604	Oedema
SIDE_EFFECT:88	C0015256	Excoriation
SIDE_EFFECT:89	C0017638	Glioma
SIDE_EFFECT:90	C0018799	Cardiac disorder
SIDE_EFFECT:91	C0018979	Hemianopia
SIDE_EFFECT:92	C0018989	Hemiparesis
SIDE_EFFECT:93	C0019348	Herpes simplex
SIDE_EFFECT:94	C0020429	Hyperpathia
SIDE_EFFECT:95	C0020453	Hyperaesthesia
SIDE_EFFECT:96	C0020580	Hypoaesthesia
SIDE_EFFECT:97	C0023518	Leukocytosis
SIDE_EFFECT:98	C0027651	Neoplasm
SIDE_EFFECT:99	C0027765	Nervous system disorder
SIDE_EFFECT:100	C0027769	Nervousness
SIDE_EFFECT:101	C0233494	Tension
SIDE_EFFECT:102	C0031256	Petechiae
SIDE_EFFECT:103	C0035229	Respiratory insufficiency
SIDE_EFFECT:104	C1145670	Respiratory failure
SIDE_EFFECT:105	C0036508	Seborrhoeic dermatitis
SIDE_EFFECT:106	C0037274	Skin disorder
SIDE_EFFECT:107	C0038814	Sunburn
SIDE_EFFECT:108	C0162830	Photosensitivity reaction
SIDE_EFFECT:109	C0040034	Thrombocytopenia
SIDE_EFFECT:110	C0040038	Thromboembolism
SIDE_EFFECT:111	C0013922	Embolism
SIDE_EFFECT:112	C0340726	Embolism venous
SIDE_EFFECT:113	C0041582	Ulcer
SIDE_EFFECT:114	C0041834	Erythema
SIDE_EFFECT:115	C0085593	Chills
SIDE_EFFECT:116	C0085641	Rash pustular
SIDE_EFFECT:117	C0151505	Application site reaction
SIDE_EFFECT:118	C0151662	Gamma-glutamyltransferase increased
SIDE_EFFECT:119	C0151717	Skin hypertrophy
SIDE_EFFECT:120	C0151904	Aspartate aminotransferase increased
SIDE_EFFECT:121	C0151905	Alanine aminotransferase increased
SIDE_EFFECT:122	C0151908	Dry skin
SIDE_EFFECT:123	C0162285	Eyelid oedema
SIDE_EFFECT:124	C0162834	Skin hyperpigmentation
SIDE_EFFECT:125	C0162835	Leukoderma
SIDE_EFFECT:126	C0178298	Unspecified disorder of skin and subcutaneous tissue
SIDE_EFFECT:127	C0205204	Scab
SIDE_EFFECT:128	C0221232	Welts
SIDE_EFFECT:129	C0234215	Discomfort
SIDE_EFFECT:130	C0234233	Tenderness
SIDE_EFFECT:131	C0237849	Skin exfoliation
SIDE_EFFECT:132	C0241157	Pustule
SIDE_EFFECT:133	C0241166	Skin tightness
SIDE_EFFECT:134	C0267792	Hepatobiliary disease
SIDE_EFFECT:135	C0311468	Blood bilirubin increased
SIDE_EFFECT:136	C0332534	Induration
SIDE_EFFECT:137	C0349506	Photosensitivity
SIDE_EFFECT:138	C0392197	Warmth
SIDE_EFFECT:139	C2939147	Feeling hot
SIDE_EFFECT:140	C0392699	Dysaesthesia
SIDE_EFFECT:141	C0406834	Wound secretion
SIDE_EFFECT:142	C0423791	Rash maculo-papular
SIDE_EFFECT:143	C0521490	Application site irritation
SIDE_EFFECT:144	C0677500	Stinging
SIDE_EFFECT:145	C0699893	Skin carcinoma
SIDE_EFFECT:146	C0007114	Skin cancer
SIDE_EFFECT:147	C0702166	Acne
SIDE_EFFECT:148	C0851341	Infestation NOS
SIDE_EFFECT:149	C1384353	Infestation
SIDE_EFFECT:150	C0852913	Blood amylase increased
SIDE_EFFECT:151	C0151479	Amylase increased
SIDE_EFFECT:152	C0857807	Accidental ingestion
SIDE_EFFECT:153	C3544060	Accidental exposure to product
SIDE_EFFECT:154	C0870082	Hyperkeratosis
SIDE_EFFECT:155	C0920193	Photodermatosis
SIDE_EFFECT:156	C1527311	Brain oedema
SIDE_EFFECT:157	C1698818	Photodamaged skin
SIDE_EFFECT:158	C0002170	Alopecia
SIDE_EFFECT:159	C0015376	Extravasation
SIDE_EFFECT:160	C0015672	Fatigue
SIDE_EFFECT:161	C0023380	Lethargy
SIDE_EFFECT:162	C0023530	Leukopenia
SIDE_EFFECT:163	C0038362	Stomatitis
SIDE_EFFECT:164	C0043144	Wheezing
SIDE_EFFECT:165	C0231218	Malaise
SIDE_EFFECT:166	C1443060	Feeling abnormal
SIDE_EFFECT:167	C2047937	Ill-defined disorder
SIDE_EFFECT:168	C0340865	Anaphylactoid reaction
SIDE_EFFECT:169	C0700225	Serum creatinine increased
SIDE_EFFECT:170	C0235431	Blood creatinine increased
SIDE_EFFECT:171	C0746883	Febrile neutropenia
SIDE_EFFECT:172	C1325847	Sensitisation
SIDE_EFFECT:173	C2609414	Acute kidney injury
SIDE_EFFECT:174	C0022660	Renal failure acute
SIDE_EFFECT:175	C0039070	Syncope
SIDE_EFFECT:176	C0041657	Loss of consciousness
SIDE_EFFECT:177	C0036974	Shock
SIDE_EFFECT:178	C0009676	Confusional state
SIDE_EFFECT:179	C0151746	Kidney function abnormal
SIDE_EFFECT:180	C1565489	Renal impairment
SIDE_EFFECT:181	C0232492	Abdominal pain upper
SIDE_EFFECT:182	C0232495	Abdominal pain lower
SIDE_EFFECT:183	C0232498	Abdominal tenderness
SIDE_EFFECT:184	C0242656	Disease progression
SIDE_EFFECT:185	C0267537	Caecitis
SIDE_EFFECT:186	C0424790	Rigors
SIDE_EFFECT:187	C0442874	Neuropathy
SIDE_EFFECT:188	C0031117	Neuropathy peripheral
SIDE_EFFECT:189	C0000832	Premature separation of placenta
SIDE_EFFECT:190	C0003862	Arthralgia
SIDE_EFFECT:191	C0004096	Asthma
SIDE_EFFECT:192	C0006266	Bronchospasm
SIDE_EFFECT:193	C0011175	Dehydration
SIDE_EFFECT:194	C0012739	Disseminated intravascular coagulation
SIDE_EFFECT:195	C0013927	Amniotic fluid embolism
SIDE_EFFECT:196	C1868769	Anaphylactoid syndrome of pregnancy
SIDE_EFFECT:197	C0014179	Endometritis
SIDE_EFFECT:198	C0015930	Foetal distress syndrome
SIDE_EFFECT:199	C0016382	Flushing
SIDE_EFFECT:200	C0018790	Cardiac arrest
SIDE_EFFECT:201	C0018811	Foetal heart rate
SIDE_EFFECT:202	C0019521	Hiccups
SIDE_EFFECT:203	C0021053	Immune system disorder
SIDE_EFFECT:204	C0021368	Inflammation
SIDE_EFFECT:205	C0023067	Laryngitis
SIDE_EFFECT:206	C0026821	Cramp muscle
SIDE_EFFECT:207	C0027051	Myocardial infarction
SIDE_EFFECT:208	C0948089	Acute coronary syndrome
SIDE_EFFECT:209	C0032797	Postpartum haemorrhage
SIDE_EFFECT:210	C0032961	Pregnancy
SIDE_EFFECT:211	C0036973	Shivering
SIDE_EFFECT:212	C0040822	Tremor
SIDE_EFFECT:213	C0042143	Uterine rupture
SIDE_EFFECT:214	C0042267	Vaginal inflammation
SIDE_EFFECT:215	C0404521	Vaginal infection
SIDE_EFFECT:216	C0042996	Vulvitis
SIDE_EFFECT:217	C0079043	Bronchoconstriction
SIDE_EFFECT:218	C0080274	Urinary retention
SIDE_EFFECT:219	C0151315	Neck stiffness
SIDE_EFFECT:220	C0948525	Musculoskeletal stiffness
SIDE_EFFECT:221	C1320474	Nuchal rigidity
